Id;Imie;Nazwisko;ZgromadzonePunkty
64;Wacława;Adamska;62
65;Julitta;Kozłowska;169
66;Wiesław;Rutkowski;861
67;Bazyli;Kowalczyk;473
68;Bartłomiej;Kalinowski;395
69;Sławomira;Nowicka;953
70;Agnieszka;Dudek;855
71;Eustachy;Grabowski;699
72;Luiza;Gorska;594
73;Weronika;Sawicka;603
74;Renard;Nowakowski;531
75;Urszula;Chmielewska;216
76;Tobiasz;Kaczmarek;815
77;Sobiesław;Ostrowski;793
78;Jarosława;Nowakowska;996
79;Miłogost;Wiśniewski;399
80;Wojciech;Zielinski;881
81;Malwina;Sawicka;514
82;Szczeosny;Wiśniewski;463
83;Małgorzata;Zawadzka;747
84;Bratumił;Zając;387
85;Przemysł;Chmielewski;63
86;Witołd;Sawicki;989
87;Leokadia;Pawłowska;984
88;Wisia;Kozłowska;380
89;Eustachy;Borkowski;60
90;Włodzimierz;Chmielewski;879
91;Jowita;Sobczak;668
92;Jerzy;Jabłoński;666
93;Celestyna;Kucharska;411
94;Jarosława;Jabłońska;42
95;Marian;Czerwinski;997
96;Jarosława;Adamska;778
97;Ireneusz;Sokołowski;720
98;Mieczysława;Kalinowska;250
99;Mirosław;Nowakowski;462
100;Bronisław;Zielinski;779
101;Hipolit;Sawicki;673
102;Teofil;Sokołowski;342
103;Ruta;Jabłońska;459
104;Hanna;Olszewska;521
105;Zuzanna;Kowalska;518
106;Ela;Sokołowska;945
107;Mieczysław;Wysocki;356
108;Izabella;Wieczorek;61
109;Józefa;Czarnecka;120
110;Henio;Majewski;669
111;Martyna;Borkowska;454
112;Julitta;Kamińska;528
113;Patrycja;Dąbrowski;647
114;Renard;Woźniak;532
115;Władysława;Dąbrowski;80
116;Bartłomiej;Czarnecki;841
117;Bogumiła;Tomaszewska;503
118;Lidia;Borkowska;722
119;Maryla;Rutkowska;919
120;Radosław;Borkowski;734
121;Radosław;Kalinowski;34
122;Dominika;Dudek;496
123;Bolesława;Dąbrowski;800
124;Barbara;Dudek;332
125;Edyta;Borkowska;651
126;Ksenia;Dudek;167
127;Jadwiga;Gorska;297
128;Piotr;Dąbrowski;489
129;Karolina;Czarnecka;177
130;Mariusz;Kowalczyk;31
131;Zofia;Zawadzka;810
132;Jadzia;Kowalczyk;687
133;Zbigniew;Sokołowski;634
134;Hajnrich;Chmielewski;579
135;Bożena;Sobczak;188
136;Marik;Szczepański;601
137;Ela;Król;412
138;Lechosław;Czerwinski;432
139;Iwan;Sobczak;205
140;Małgorzata;Majewska;691
141;Jerzy;Zielinski;339
142;Stefania;Dudek;656
143;Zdzisława;Walczak;329
144;Stanisława;Woźniak;714
145;Eligia;Jasińska;925
146;Eliasz;Tomaszewski;625
147;Sulisław;Kucharski;522
148;Luiza;Kamińska;139
149;Krystian;Woźniak;544
150;Cecylia;Wieczorek;983
151;Karolina;Kalinowska;627
152;Martyna;Kwiatkowska;41
153;Cecylia;Chmielewska;882
154;Sylwester;Maciejewski;568
155;Malwina;Dąbrowski;830
156;Juliusz;Kwiatkowski;370
157;Jarosława;Duda;539
158;Jadwiga;Jabłońska;257
159;Marzena;Sawicka;71
160;Włodzisław;Sobczak;906
161;Zofia;Symanska;939
162;Marian;Adamski;90
163;Radosław;Czarnecki;974
164;Ksawery;Michalski;392
165;Luiza;Wysocka;397
166;Wojciecha;Dudek;991
167;Roksana;Kowalczyk;49
168;Ela;Piotrowska;808
169;Świętopełk;Kowalski;448
170;Róża;Dudek;733
171;Jerzy;Czerwinski;762
172;Rościsław;Wieczorek;235
173;Bogusława;Kowalczyk;363
174;Bronisława;Dudek;609
175;Korneli;Borkowski;5
176;Jolanta;Szczepańska;986
177;Angelika;Rutkowska;375
178;Gabrysia;Sokołowska;737
179;Świętosław;Walczak;12
180;Świętopełk;Kwiatkowski;588
181;Celestyna;Jasińska;282
182;Serafin;Rutkowski;645
183;Małgorzata;Gorska;791
184;Gabrysia;Pawłowska;585
185;Dorota;Król;681
186;Karina;Kucharska;738
187;Kinga;Sokołowska;859
188;Gabrysz;Czarnecki;72
189;Janek;Kowalski;865
190;Martyna;Zawadzka;700
191;Kuba;Ostrowski;576
192;Amadej;Zielinski;220
193;Iwo;Kowalski;608
194;Izabella;Wysocka;203
195;Konstantyn;Kowalczyk;28
196;Wera;Zawadzka;788
197;Michalina;Nowak;913
198;Gracja;Pawłowska;923
199;Stanisław;Kucharski;32
200;Dorofiej;Wieczorek;591
201;Adrianna;Olszewska;197
202;Adelajda;Jasińska;828
203;Jeronim;Nowicki;873
204;Jerzy;Woźniak;365
205;Aleš;Wiśniewski;897
206;Gabrjel;Kwiatkowski;783
207;Gracja;Michalska;141
208;Czcibor;Wieczorek;926
209;Gustaw;Adamczyk;185
210;Jowita;Zielinska;15
211;Malina;Ostrowska;353
212;Szczeosny;Kowalczyk;751
213;Zoja;Adamczyk;768
214;Bogusława;Szczepańska;960
215;Basia;Duda;607
216;Walerian;Dąbrowski;275
217;Marik;Sokołowski;643
218;Jacek;Piotrowski;766
219;Ludmita;Grabowska;952
220;Metody;Szczepański;217
221;Katarzyna;Rutkowska;156
222;Karol;Zielinski;70
223;Walentyna;Piotrowska;495
224;Eliasz;Kowalczyk;427
225;Hanna;Sawicka;260
226;Martyn;Kowalski;174
227;Wera;Dąbrowski;846
228;Klementyna;Wiśniewska;506
229;Teodozja;Symanska;290
230;Iwona;Jaworska;107
231;Serafina;Zawadzka;564
232;Franciszek;Dąbrowski;126
233;Wera;Pawłowska;834
234;Wiga;Maciejewska;155
235;Kaja;Kamińska;796
236;Lechosława;Piotrowska;276
237;Wacław;Majewski;221
238;Patryk;Borkowski;374
239;Agnieszka;Kucharska;938
240;Adelajda;Adamska;428
241;Michał;Zając;88
242;Włodzisław;Adamski;636
243;Czcibor;Jasiński;782
244;Brygida;Tomaszewska;573
245;Juliusz;Zielinski;145
246;Bartosz;Tomaszewski;149
247;Korneliusz;Kucharski;679
248;Agnieszka;Król;497
249;Frydrych;Tomaszewski;443
250;Teodozja;Woźniak;319
251;Tekla;Kucharska;760
252;Sylwester;Kaczmarek;335
253;Tekla;Chmielewska;956
254;Dorota;Zawadzka;17
255;Janusz;Wiśniewski;690
256;Benedykta;Kowalska;38
257;Ziemowit;Chmielewski;364
258;Gabryŝ;Dudek;206
259;Cezar;Czerwinski;606
260;Władysława;Sobczak;653
261;Dobromił;Kucharski;761
262;Rafał;Maciejewski;534
263;Krystyna;Pawłowska;345
264;Kasia;Pawłowska;857
265;Ruta;Tomaszewska;362
266;Bolesława;Dudek;183
267;Szczeosny;Symanski;82
268;Świętomierz;Szczepański;247
269;Radzimierz;Czerwinski;561
270;Danuta;Sobczak;425
271;Celina;Kaczmarek;758
272;Józefa;Zawadzka;285
273;Lechosława;Jasińska;612
274;Klementyna;Dudek;492
275;Michalina;Grabowska;171
276;Walerian;Walczak;263
277;Radosława;Kalinowska;181
278;Dobromił;Zając;511
279;Albin;Woźniak;595
280;Wioletta;Wieczorek;407
281;Dorota;Majewska;178
282;Anastazy;Dudek;328
283;Adrianna;Wysocka;549
284;Waleria;Olszewska;304
285;Friderich;Dudek;615
286;Radosław;Pawlak;558
287;Jolanta;Woźniak;887
288;Oliwia;Wiśniewska;59
289;Marcin;Piotrowski;545
290;Bożydar;Sokołowski;293
291;Miłogost;Kozłowski;623
292;Stefania;Kozłowska;349
293;Benedykt;Michalski;419
294;Alojzy;Kalinowski;245
295;Nikodem;Pawlak;158
296;Seweryn;Kwiatkowski;801
297;Alicja;Gorska;890
298;Wojtek;Wojciechowski;838
299;Urjasz;Michalski;498
300;Józefa;Rutkowska;383
301;Klementyna;Kwiatkowska;54
302;Hainrich;Sobczak;638
303;Lesław;Jaworski;745
304;Krystian;Piotrowski;649
305;Cecylia;Grabowska;552
306;Ewa;Kalinowska;143
307;Oliwia;Rutkowska;265
308;Teofil;Tomaszewski;226
309;Karina;Jaworska;73
310;Małgorzata;Jasińska;176
311;Iwona;Jaworska;160
312;Maksymilian;Pawłowski;67
313;Jadzia;Król;441
314;Sulisław;Borkowski;541
